expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E3,barcode21,10,5053725,DR389,PCBM046_E3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_F3,barcode22,10,5053708,DR390,PCBM046_F3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_G3,barcode23,10,5053742,DR392,PCBM046_G3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_H3,barcode24,10,01036151,DR393,PCBM046_H3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_A4,barcode25,10,01036153,DR394,PCBM046_A4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_B4,barcode26,10,01036152,DR395,PCBM046_B4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C4,barcode27,10,01036154,DR396,PCBM046_C4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D4,barcode28,10,blank1,blank1,PCBM046_D4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E4,barcode29,10,blank,blank,PCBM046_E4,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_F4,barcode30,10,01036157,DR399,PCBM046_F4,No sWGA,Field
