location,lat,long
chilenje,-11.8764531468647,32.5625473447144
susa,-11.8835083333333,33.2590733333333
chizingizi,-12.1405783333333,32.8969080839306
lumimba,-12.4346275,32.2826463691278
kaikumbe,-12.3610958333333,32.9950704032871
chamtowa,-12.4748897418217,32.9904275
nthitimila,-12.5450299638861,33.1849530307614
lunevwa,-12.4754543667758,33.2907010399252
mnyamazi,-12.2942780834129,33.1662466226898
bunda_bunda,-15.2529439050704,28.9690718147904
kabuyu,-15.104402708821,28.9251216666667
kapoche,-14.2746679717675,31.7295816666667
kovyane,-14.3678133333333,31.4624419994652
nyika,-14.2372684646398,31.3145243749022
lusinde,-14.5456134056622,31.3900275579919
lwezi,-14.5978531674401,30.9049033333334
nyimba,-14.574324367002,30.8336535841227
mankhokwe,-15.043385,30.2279176656157
chiyaba,-15.8253666666667,29.1194416666667
matanda,-15.77617,28.1750225
magoba,-15.6665858333333,28.020155
shimabala,-15.6919283333334,28.2389941666667
chifwema,-15.6924958333333,28.5040808333333
kabanana,-15.3461283333334,28.2917825
ngwerere,-15.3883533333333,28.2902016666667
harry mwanga nkumbula,-15.4360316666667,28.2730433333333
nkoloma,-15.4481216666667,28.2772116666667
libala,-15.4719983333333,28.3268366666667
chinyanja,-15.3481325,27.9432733333333
mwembeshi,-15.3129183333334,27.796905
munkolo,-15.4655033333333,28.2421966666667
kaanzwa,-15.5905336677096,26.1902574682608
mandondo,-15.991233503446,27.0198160596192
namwala central,-15.7657125941478,26.4470317913219
stateland,-16.8387542827986,26.9068553717807
mubula,-16.8305555032566,26.9769463129342
namwianga,-17.0331995585002,26.6536514041945
luyaba,-17.5040044094405,26.536487150006
omba,-16.5211662766524,26.1787297949195
mandia,-17.8433768218384,25.4262622911483
freedom,-17.8367617819458,25.8195961732417
katoba,-15.57656,28.6860891666667
nchute,-15.5164733333333,28.686585
manyika,-15.404015,28.7690716666667
chainda,-15.31782,28.5765858333333
kanakantapa,-15.2277,28.6003966666667
chongwe,-15.3281183333333,28.6927916666667
mulamba,-15.1430591666666,29.4736325
nyangwena,-15.2867775,28.8156675
kapete,-15.2755608333334,28.7499533333334
chambeshi,-10.3923417488113,31.8313469685841
motomoto,-8.78595784306526,31.3920671632513
chibulula,-8.79247885895893,31.0783664742485
nkonta,-8.89554406050592,29.4789487263188
kalungwishi,-10.0023530017086,30.4971501040703
lwata,-10.7007291913033,30.3868504520506
luangwa,-11.4269959973171,30.3792620636523
manshya,-11.2241459337858,31.8281780881807
mahobe,-10.429005,33.5715035162866
kalungu,-9.72951513715088,32.7145847585052
mpande,-9.66993072303012,32.7504307458935
mukololo,-9.0583602335752,31.9072754122252
chela,-9.36453666666667,31.359715
chibundu,-10.4421055207818,31.2409906089306
chibwa,-11.7888782545924,31.0409366666667
lukulu,-11.9787146151066,30.3718766666667
kimale,-12.1890775,26.4732925
mulonga,-11.9754058333334,26.77353
musele,-12.2605616666667,25.2114733333334
chovwe,-12.3713033333334,25.0873233333333
kasampula,-11.456725,25.2356916666666
nyakaseya,-11.1524491666666,24.1926516666666
sewe mungole,-13.0447516666667,22.693205
chileng a chizenzi,-13.5098933333333,23.2102233333333
muyembe,-13.44845,22.7435741666667
kasamba,-13.25875,24.5007733333333
kanongo,-13.7473883333333,26.138025
miluji,-14.5638833333334,25.0360283333333
ilute,-15.2791025,23.1607333333334
mwanambuyu,-15.93306,23.3389166666667
namengo,-15.7326858333333,23.8547591666666
makuku,-14.9641058333333,22.9909491666667
naliele,-14.853725,24.7435375
nyambi,-15.4706941666667,24.7580458333333
munkuye,-14.851345,25.173585
lwambimba,-14.148215,22.4384083333333
lukona,-15.3966916666667,22.85784
lyamakumba,-15.9340658333333,23.0699541666666
lilondo,-16.5066308333334,22.1653341666667
ng'umbele,-15.7831233333334,22.0620833333333
mweezya,-17.3100953525864,27.3149853665381
dobo,-16.7593805078557,27.4229635528355
chibuwe,-16.8012146931142,27.8599632158875
chipembele,-16.3292853430747,27.5965441666667
chona,-16.2784325,27.6538597006456
bennie mwiinga,-15.8788242819719,27.7473627252914
lubombo,-15.8248824812472,27.88463
kasengo,-15.8312541666666,28.07832
chivuna,-16.2123224982768,27.8102169558406
ng'ombe ilede,-16.1596591666667,28.8052515825257
manchamvwa lake shore,-16.5216314094141,28.3790583333333
milenge east 7 rural health centre,-12.4161389999,29.4854549997
makwe health post,-13.8093620003,32.6538730001
ilondola rural health centre,-10.7175360003,31.8010670001
central urban health centre,-11.2034,28.887
mufulira clinic 3 urban health centre,-12.563865,28.2323559996
ronald ross hospital,-12.5480229997,28.2415910001
katondwe mission hospital,-15.2465429998,30.2475470001
mokambo rural health centre,-12.4363860001,28.3398689997
senama urban health centre,-11.1778510002,28.8847499999
st joseph rural health centre,-14.8981540001,30.3947009999
kamphambe rural health centre,-14.0232069998,32.158588
