expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,25.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B6,barcode42,10,01045453,DR292,PCMM077_B6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,71.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C6,barcode43,10,01045454,DR293,PCMM077_C6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,15.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D6,barcode44,10,2033421,DR296,PCMM077_D6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,4.44,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E6,barcode45,10,2033428,DR303,PCMM077_E6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,66.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F6,barcode46,10,2033430,DR305,PCMM077_F6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,53.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G6,barcode47,10,2033431,DR306,PCMM077_G6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,22.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H6,barcode48,10,2033432,DR307,PCMM077_H6,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,9.96,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A7,barcode49,10,8021754,DR310,PCMM077_A7,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,30.8,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B7,barcode50,10,8021756,DR311,PCMM077_B7,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,7.9,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C7,barcode51,10,8021758,DR312,PCMM077_C7,,Field
