expt_id_PCR;expt_date_PCR;expt_user_PCR;expt_version_PCR;expt_assay;expt_notes_PCR;expt_summary_PCR;expt_rxns_PCR;pcr_primers;pcr_primersource;pcr_targetpanel;pcr_enzyme;pcr_product_ngul;expt_id_seqlib;expt_date_seqlib;expt_user_seqlib;expt_sub-type;expt_version_seqlib;expt_notes_seqlib;expt_summary_seqlib;expt_rxns_seqlib;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_id;extraction_id;pcr_identifier;swga_identifier;sample_type
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;16. Jun;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_G4;barcode31;10;8021941;DR176;PCBM044_G4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Jun 76;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_H4;barcode32;10;8021945;DR177;PCBM044_H4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Feb 56;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A5;barcode33;10;8021946;DR178;PCBM044_A5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;101.0;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B5;barcode34;10;8021947;DR179;PCBM044_B5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Apr 58;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C5;barcode35;10;8021948;DR180;PCBM044_C5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Jan 34;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_D5;barcode36;10;8021949;DR181;PCBM044_D5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;Feb 24;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_E5;barcode37;10;8021950;DR182;PCBM044_E5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;45.4;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_F5;barcode38;10;8021951;DR183;PCBM044_F5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;79.4;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_G5;barcode39;10;8021952;DR184;PCBM044_G5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;65.2;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_H5;barcode40;10;8021953;DR185;PCBM044_H5;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;14. Mar;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A6;barcode41;10;8021954;DR186;PCBM044_A6;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;0.838;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B6;barcode42;10;8021944;DR187;PCBM044_B6;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;69.6;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C6;barcode43;10;8021943;DR188;PCBM044_C6;;field
