expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul;;sample_type
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021949;DR181;;PCBM040_H8;SLMM067_H2;barcode64;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021950;DR182;;PCBM040_A9;SLMM067_A3;barcode65;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021951;DR183;;PCBM040_B9;SLMM067_B3;barcode66;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021952;DR184;;PCBM040_C9;SLMM067_C3;barcode67;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021953;DR185;;PCBM040_D9;SLMM067_D3;barcode68;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021954;DR186;;PCBM040_E9;SLMM067_E3;barcode69;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021944;DR187;;PCBM040_F9;SLMM067_F3;barcode70;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021943;DR188;;PCBM040_G9;SLMM067_G3;barcode71;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021942;DR189;;PCBM040_H9;SLMM067_H3;barcode72;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;01046675;DR190;;PCBM040_A10;SLMM067_A4;barcode73;10;;field
