expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,37.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_E3,barcode21,10.0,01036152,DR395,PCBM054_E3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,21.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_F3,barcode22,10.0,01036154,DR396,PCBM054_F3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,96.8,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_G3,barcode23,10.0,01036155,DR397,PCBM054_G3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,119.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_H3,barcode24,10.0,01036156,DR398,PCBM054_H3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,14.4,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_A4,barcode25,10.0,01036157,DR399,PCBM054_A4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,13.1,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_B4,barcode26,10.0,01036158,DR400,PCBM054_B4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,129.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_C4,barcode27,10.0,5053930,DR402,PCBM054_C4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,115.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_D4,barcode28,10.0,5053929,DR403,PCBM054_D4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,52.4,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_E4,barcode29,10.0,5053891,DR409,PCBM054_E4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,144.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_F4,barcode30,10.0,5053937,DR412,PCBM054_F4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,10.1,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_G4,barcode31,10.0,5053933,DR416,PCBM054_G4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,125.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_H4,barcode32,10.0,5053931,DR421,PCBM054_H4,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,114.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_A5,barcode33,6.9,5053903,DR429,PCBM054_A5,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,59.4,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_B5,barcode34,6.9,5053898,DR431,PCBM054_B5,,Field
