Raw Data 		Experiment - evIC50_2_plate4_08APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
B2	Sample 14	2	1	6	57170	36.96	0.93
B2	Sample 14	2	1	7	62170	37	0.94
B2	Sample 14	2	1	8	67170	37	0.93
B2	Sample 14	2	1	9	72170	37	0.93
B2	Sample 14	2	1	10	77170	36.96	0.93
B2	Sample 14	2	1	11	82170	37	0.93
B2	Sample 14	2	1	12	87180	37	0.93
B2	Sample 14	2	1	13	92170	37	0.93
B2	Sample 14	2	1	14	97170	37	0.93
B2	Sample 14	2	1	15	102180	37	0.93
B3	Sample 15	2	1	1	32170	36.96	1.04
B3	Sample 15	2	1	2	37170	36.96	1.04
B3	Sample 15	2	1	3	42170	36.96	1.03
B3	Sample 15	2	1	4	47170	37	1.04
B3	Sample 15	2	1	5	52170	36.96	1.03
B3	Sample 15	2	1	6	57170	36.96	1.03
B3	Sample 15	2	1	7	62170	37	1.03
B3	Sample 15	2	1	8	67170	37	1.03
B3	Sample 15	2	1	9	72170	37	1.03
B3	Sample 15	2	1	10	77170	36.96	1.03
B3	Sample 15	2	1	11	82170	37	1.02
B3	Sample 15	2	1	12	87180	37	1.03
B3	Sample 15	2	1	13	92170	37	1.03
B3	Sample 15	2	1	14	97170	37	1.03
B3	Sample 15	2	1	15	102180	37	1.02
B4	Sample 16	2	1	1	32170	36.96	1.09
B4	Sample 16	2	1	2	37170	36.96	1.09
B4	Sample 16	2	1	3	42170	36.96	1.08
B4	Sample 16	2	1	4	47170	37	1.08
B4	Sample 16	2	1	5	52170	36.96	1.08
B4	Sample 16	2	1	6	57170	36.96	1.08
B4	Sample 16	2	1	7	62170	37	1.08
B4	Sample 16	2	1	8	67170	37	1.08
B4	Sample 16	2	1	9	72170	37	1.08
B4	Sample 16	2	1	10	77170	36.96	1.08
B4	Sample 16	2	1	11	82170	37	1.08
B4	Sample 16	2	1	12	87180	37	1.08
B4	Sample 16	2	1	13	92170	37	1.08
B4	Sample 16	2	1	14	97170	37	1.07
B4	Sample 16	2	1	15	102180	37	1.08
B5	Sample 17	2	1	1	32170	36.96	1.1
B5	Sample 17	2	1	2	37170	36.96	1.1
B5	Sample 17	2	1	3	42170	36.96	1.09
B5	Sample 17	2	1	4	47170	37	1.09
B5	Sample 17	2	1	5	52170	36.96	1.09
B5	Sample 17	2	1	6	57170	36.96	1.09
B5	Sample 17	2	1	7	62170	37	1.09
B5	Sample 17	2	1	8	67170	37	1.09
B5	Sample 17	2	1	9	72170	37	1.09
B5	Sample 17	2	1	10	77170	36.96	1.09
B5	Sample 17	2	1	11	82170	37	1.09
B5	Sample 17	2	1	12	87180	37	1.09
B5	Sample 17	2	1	13	92170	37	1.09
B5	Sample 17	2	1	14	97170	37	1.09
B5	Sample 17	2	1	15	102180	37	1.09
B6	Sample 18	2	1	1	32170	36.96	1.13
B6	Sample 18	2	1	2	37170	36.96	1.13
B6	Sample 18	2	1	3	42170	36.96	1.13
B6	Sample 18	2	1	4	47170	37	1.13
B6	Sample 18	2	1	5	52170	36.96	1.13
B6	Sample 18	2	1	6	57170	36.96	1.12
B6	Sample 18	2	1	7	62170	37	1.12
B6	Sample 18	2	1	8	67170	37	1.13
B6	Sample 18	2	1	9	72170	37	1.12
B6	Sample 18	2	1	10	77170	36.96	1.12
B6	Sample 18	2	1	11	82170	37	1.12
B6	Sample 18	2	1	12	87180	37	1.12
B6	Sample 18	2	1	13	92170	37	1.12
B6	Sample 18	2	1	14	97170	37	1.12
B6	Sample 18	2	1	15	102180	37	1.12
B7	Sample 19	2	1	1	32170	36.96	1.13
B7	Sample 19	2	1	2	37170	36.96	1.14
B7	Sample 19	2	1	3	42170	36.96	1.13
B7	Sample 19	2	1	4	47170	37	1.13
B7	Sample 19	2	1	5	52170	36.96	1.13
B7	Sample 19	2	1	6	57170	36.96	1.13
