Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
A12	Sample 12	2	1	2	37970	36.96	1.32																		
A12	Sample 12	2	1	3	42980	36.96	1.3																		
A12	Sample 12	2	1	4	47980	37	1.31																		
A12	Sample 12	2	1	5	52970	37	1.31																		
A12	Sample 12	2	1	6	57960	37	1.3																		
A12	Sample 12	2	1	7	62970	36.96	1.3																		
A12	Sample 12	2	1	8	67980	36.96	1.3																		
A12	Sample 12	2	1	9	72970	37	1.3																		
A12	Sample 12	2	1	10	77970	37	1.31																		
A12	Sample 12	2	1	11	82970	37	1.31																		
A12	Sample 12	2	1	12	87960	36.96	1.31																		
A12	Sample 12	2	1	13	92970	37	1.31																		
A12	Sample 12	2	1	14	97970	36.96	1.3																		
A12	Sample 12	2	1	15	102970	36.96	1.3							1.11	1.24	1.58	1.51	1.32	1.26	1.52	1.44	1.3	1.37	1.36	1.28
B1	Sample 13	2	1	1	32930	36.91	1.07																		
B1	Sample 13	2	1	2	37970	36.96	1.08																		
B1	Sample 13	2	1	3	42980	36.96	1.07																		
B1	Sample 13	2	1	4	47980	37	1.07																		
B1	Sample 13	2	1	5	52970	37	1.07																		
B1	Sample 13	2	1	6	57960	37	1.07																		
B1	Sample 13	2	1	7	62970	36.96	1.07																		
B1	Sample 13	2	1	8	67980	36.96	1.07																		
B1	Sample 13	2	1	9	72970	37	1.07																		
B1	Sample 13	2	1	10	77970	37	1.07																		
B1	Sample 13	2	1	11	82970	37	1.07																		
B1	Sample 13	2	1	12	87960	36.96	1.07																		
B1	Sample 13	2	1	13	92970	37	1.06																		
B1	Sample 13	2	1	14	97970	36.96	1.07																		
B1	Sample 13	2	1	15	102970	36.96	1.07							1.19	1.33	1.66	1.54	1.45	1.4	1.46	1.38	1.26	1.37	1.33	1.26
B2	Sample 14	2	1	1	32930	36.91	1.19																		
B2	Sample 14	2	1	2	37970	36.96	1.19																		
B2	Sample 14	2	1	3	42980	36.96	1.18																		
B2	Sample 14	2	1	4	47980	37	1.19																		
B2	Sample 14	2	1	5	52970	37	1.18																		
B2	Sample 14	2	1	6	57960	37	1.18																		
B2	Sample 14	2	1	7	62970	36.96	1.18																		
B2	Sample 14	2	1	8	67980	36.96	1.18																		
B2	Sample 14	2	1	9	72970	37	1.19																		
B2	Sample 14	2	1	10	77970	37	1.18																		
B2	Sample 14	2	1	11	82970	37	1.18																		
B2	Sample 14	2	1	12	87960	36.96	1.17																		
B2	Sample 14	2	1	13	92970	37	1.17																		
B2	Sample 14	2	1	14	97970	36.96	1.18																		
B2	Sample 14	2	1	15	102970	36.96	1.17							1.37	1.46	1.57	1.53	1.51	1.49	1.44	1.42	1.22	1.28	1.2	1.22
B3	Sample 15	2	1	1	32930	36.91	1.23																		
B3	Sample 15	2	1	2	37970	36.96	1.23																		
B3	Sample 15	2	1	3	42980	36.96	1.23																		
B3	Sample 15	2	1	4	47980	37	1.23																		
B3	Sample 15	2	1	5	52970	37	1.22																		
B3	Sample 15	2	1	6	57960	37	1.23																		
B3	Sample 15	2	1	7	62970	36.96	1.23																		
B3	Sample 15	2	1	8	67980	36.96	1.22																		
B3	Sample 15	2	1	9	72970	37	1.23																		
B3	Sample 15	2	1	10	77970	37	1.23																		
B3	Sample 15	2	1	11	82970	37	1.23																		
B3	Sample 15	2	1	12	87960	36.96	1.23																		
B3	Sample 15	2	1	13	92970	37	1.23																		
B3	Sample 15	2	1	14	97970	36.96	1.23																		
B3	Sample 15	2	1	15	102970	36.96	1.23																		
B4	Sample 16	2	1	1	32930	36.91	1.23																		
B4	Sample 16	2	1	2	37970	36.96	1.23																		
B4	Sample 16	2	1	3	42980	36.96	1.23																		
B4	Sample 16	2	1	4	47980	37	1.23																		
B4	Sample 16	2	1	5	52970	37	1.22																		
B4	Sample 16	2	1	6	57960	37	1.22																		
B4	Sample 16	2	1	7	62970	36.96	1.22																		
B4	Sample 16	2	1	8	67980	36.96	1.22																		
B4	Sample 16	2	1	9	72970	37	1.22																		
B4	Sample 16	2	1	10	77970	37	1.22																		
B4	Sample 16	2	1	11	82970	37	1.22																		
B4	Sample 16	2	1	12	87960	36.96	1.22																		
B4	Sample 16	2	1	13	92970	37	1.21																		
B4	Sample 16	2	1	14	97970	36.96	1.22																		
B4	Sample 16	2	1	15	102970	36.96	1.21																		
B5	Sample 17	2	1	1	32930	36.91	1.32																		
B5	Sample 17	2	1	2	37970	36.96	1.31																		
B5	Sample 17	2	1	3	42980	36.96	1.32																		
B5	Sample 17	2	1	4	47980	37	1.31																		
B5	Sample 17	2	1	5	52970	37	1.31																		
B5	Sample 17	2	1	6	57960	37	1.31																		
B5	Sample 17	2	1	7	62970	36.96	1.3																		
B5	Sample 17	2	1	8	67980	36.96	1.31																		
B5	Sample 17	2	1	9	72970	37	1.3																		
B5	Sample 17	2	1	10	77970	37	1.3																		
B5	Sample 17	2	1	11	82970	37	1.31																		
B5	Sample 17	2	1	12	87960	36.96	1.3																		
B5	Sample 17	2	1	13	92970	37	1.3																		
B5	Sample 17	2	1	14	97970	36.96	1.3																		
B5	Sample 17	2	1	15	102970	36.96	1.29																		
B6	Sample 18	2	1	1	32930	36.91	1.31																		
B6	Sample 18	2	1	2	37970	36.96	1.3																		
B6	Sample 18	2	1	3	42980	36.96	1.3																		
B6	Sample 18	2	1	4	47980	37	1.31																		
B6	Sample 18	2	1	5	52970	37	1.3																		
B6	Sample 18	2	1	6	57960	37	1.3																		
B6	Sample 18	2	1	7	62970	36.96	1.29																		
B6	Sample 18	2	1	8	67980	36.96	1.29																		
