Raw Data 		Experiment - evIC50_3_plate6_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
B8	Sample 20	2	1	5	54260	37	1.5														
B8	Sample 20	2	1	6	59250	37	1.49														
B8	Sample 20	2	1	7	64260	37	1.5														
B8	Sample 20	2	1	8	69260	37	1.5														
B8	Sample 20	2	1	9	74250	37	1.5														
B8	Sample 20	2	1	10	79260	37	1.49														
B8	Sample 20	2	1	11	84250	36.96	1.49														
B8	Sample 20	2	1	12	89260	36.91	1.49														
B8	Sample 20	2	1	13	94270	37	1.5														
B8	Sample 20	2	1	14	99250	36.96	1.5														
B8	Sample 20	2	1	15	104260	36.96	1.49														
B9	Sample 21	2	1	1	34290	36.96	2.67														
B9	Sample 21	2	1	2	39250	37	2.65														
B9	Sample 21	2	1	3	44250	36.96	2.65														
B9	Sample 21	2	1	4	49270	37	2.65														
B9	Sample 21	2	1	5	54260	37	2.65														
B9	Sample 21	2	1	6	59250	37	2.64														
B9	Sample 21	2	1	7	64260	37	2.65														
B9	Sample 21	2	1	8	69260	37	2.65														
B9	Sample 21	2	1	9	74250	37	2.64														
B9	Sample 21	2	1	10	79260	37	2.64														
B9	Sample 21	2	1	11	84250	36.96	2.64														
B9	Sample 21	2	1	12	89260	36.91	2.64														
B9	Sample 21	2	1	13	94270	37	2.63														
B9	Sample 21	2	1	14	99250	36.96	2.62														
B9	Sample 21	2	1	15	104260	36.96	2.63														
B10	Sample 22	2	1	1	34290	36.96	2.54														
B10	Sample 22	2	1	2	39250	37	2.53														
B10	Sample 22	2	1	3	44250	36.96	2.52														
B10	Sample 22	2	1	4	49270	37	2.53														
B10	Sample 22	2	1	5	54260	37	2.53														
B10	Sample 22	2	1	6	59250	37	2.52														
B10	Sample 22	2	1	7	64260	37	2.52														
B10	Sample 22	2	1	8	69260	37	2.52														
B10	Sample 22	2	1	9	74250	37	2.51														
B10	Sample 22	2	1	10	79260	37	2.51														
B10	Sample 22	2	1	11	84250	36.96	2.51														
B10	Sample 22	2	1	12	89260	36.91	2.52														
B10	Sample 22	2	1	13	94270	37	2.51														
B10	Sample 22	2	1	14	99250	36.96	2.51														
B10	Sample 22	2	1	15	104260	36.96	2.51														
B11	Sample 23	2	1	1	34290	36.96	2.74														
B11	Sample 23	2	1	2	39250	37	2.72														
