Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
A11	Sample 11	2	1	10	73230	37	3.18															
A11	Sample 11	2	1	11	77830	37	4.17															
A11	Sample 11	2	1	12	82430	37	4.52															
A11	Sample 11	2	1	13	87040	37	4.32															
A11	Sample 11	2	1	14	91640	37	3.88															
A11	Sample 11	2	1	15	96240	37	3.45															
A12	Sample 12	2	1	1	31610	36.91	3.06															
A12	Sample 12	2	1	2	36240	36.96	3.07															
A12	Sample 12	2	1	3	40830	37	3.06															
A12	Sample 12	2	1	4	45430	36.96	3.05															
A12	Sample 12	2	1	5	50130	37	3.04															
A12	Sample 12	2	1	6	54730	36.96	3.04															
A12	Sample 12	2	1	7	59330	36.96	3.05															
A12	Sample 12	2	1	8	63940	37	3.06															
A12	Sample 12	2	1	9	68630	37	3.07															
A12	Sample 12	2	1	10	73230	37	3.09															
A12	Sample 12	2	1	11	77830	37	3.12															
A12	Sample 12	2	1	12	82430	37	3.11															
A12	Sample 12	2	1	13	87040	37	3.13															
A12	Sample 12	2	1	14	91640	37	3.13															
A12	Sample 12	2	1	15	96240	37	3.12															
B1	Sample 13	2	1	1	31610	36.91	1.37															
B1	Sample 13	2	1	2	36240	36.96	1.38															
B1	Sample 13	2	1	3	40830	37	1.4															
B1	Sample 13	2	1	4	45430	36.96	1.4															
B1	Sample 13	2	1	5	50130	37	1.4															
B1	Sample 13	2	1	6	54730	36.96	1.4															
B1	Sample 13	2	1	7	59330	36.96	1.43															
B1	Sample 13	2	1	8	63940	37	1.41															
B1	Sample 13	2	1	9	68630	37	1.42															
B1	Sample 13	2	1	10	73230	37	1.43															
B1	Sample 13	2	1	11	77830	37	1.42															
B1	Sample 13	2	1	12	82430	37	1.42															
B1	Sample 13	2	1	13	87040	37	1.42															
B1	Sample 13	2	1	14	91640	37	1.42															
B1	Sample 13	2	1	15	96240	37	1.43															
