sample_id,extraction_id,extraction_date,notes
8034049,Z110,09.12.25,
8032335,Z111,09.12.25,
8032294,Z112,09.12.25,
8032319,Z113,09.12.25,
8032348,Z114,09.12.25,
8032265,Z115,09.12.25,
8032330,Z116,09.12.25,
8032277,Z117,09.12.25,
8032320,Z118,09.12.25,
8034006,Z119,09.12.25,
8034009,Z120,09.12.25,
8034000,Z121,09.12.25,
8034004,Z122,09.12.25,
8034007,Z123,09.12.25,
8034008,Z124,09.12.25,
8034003,Z125,09.12.25,
8032551,Z126,09.12.25,
8032526,Z127,09.12.25,
8032544,Z128,09.12.25,
8032550,Z129,09.12.25,
8032558,Z130,09.12.25,
8032527,Z131,09.12.25,
8032541,Z132,09.12.25,
8032573,Z133,09.12.25,
8032545,Z134,09.12.25,
5053641,Z135,09.12.25,
5053639,Z136,09.12.25,
8021934,Z137,10.12.25,
8021932,Z138,10.12.25,
8021912,Z139,10.12.25,
8023334,Z140,10.12.25,
8023349,Z141,10.12.25,
8023337,Z142,10.12.25,
8023345,Z143,10.12.25,
1012521,Z144,10.12.25,
8023348,Z145,10.12.25,
8022891,Z146,10.12.25,
8022865,Z147,10.12.25,
8010988,Z148,10.12.25,
8010711,Z149,10.12.25,
8010709,Z150,10.12.25,
8010700,Z151,10.12.25,
8010689,Z152,10.12.25,
8023300,Z153,10.12.25,
2033428,Z154,10.12.25,
1045448,Z155,10.12.25,
8023230,Z156,10.12.25,
1045447,Z157,10.12.25,
2033432,Z158,10.12.25,
2033430,Z159,10.12.25,
2033431,Z160,10.12.25,
1045454,Z161,10.12.25,
8013460,Z162,10.12.25,
8013480,Z163,10.12.25,
8013471,Z164,10.12.25,
8013425,Z165,10.12.25,
8013478,Z166,10.12.25,
8013449,Z167,10.12.25,
8013470,Z168,10.12.25,
8023994,Z169,10.12.25,
8013488,Z170,10.12.25,
8023285,Z171,10.12.25,
8023249,Z172,10.12.25,
8023305,Z173,10.12.25,
8023304,Z174,10.12.25,
8023313,Z175,10.12.25,
8023307,Z176,10.12.25,
8023302,Z177,10.12.25,
8019450,Z178,10.12.25,
8023245,Z179,10.12.25,
8023427,Z180,10.12.25,
8023420,Z181,10.12.25,
8023438,Z182,10.12.25,
8021951,Z183,11.12.25,
8023437,Z184,11.12.25,
8023432,Z185,11.12.25,
8021950,Z186,11.12.25,
8023436,Z187,11.12.25,
8023441,Z188,11.12.25,
8021940,Z189,11.12.25,
8021948,Z190,11.12.25,
8021946,Z191,11.12.25,
8023425,Z192,11.12.25,
8021941,Z193,11.12.25,
8023421,Z194,11.12.25,
8023439,Z195,11.12.25,
5053836,Z196,11.12.25,
8012434,Z197,11.12.25,
8012436,Z198,11.12.25,
8012469,Z199,11.12.25,
8012489,Z200,11.12.25,
8013943,Z201,11.12.25,
8013944,Z202,11.12.25,
8013950,Z203,11.12.25,
8013952,Z204,11.12.25,
8033123,Z205,11.12.25,
8033128,Z206,11.12.25,
8033127,Z207,11.12.25,
8033185,Z208,11.12.25,
8033146,Z209,11.12.25,
8033155,Z210,11.12.25,
8033172,Z211,11.12.25,
1045436,Z212,11.12.25,
1045439,Z213,11.12.25,
1045437,Z214,11.12.25,
1045438,Z215,11.12.25,
1045435,Z216,11.12.25,
1012416,Z217,11.12.25,
8023440,Z218,11.12.25,
1012421,Z219,11.12.25,
8023419,Z220,11.12.25,
1012450,Z221,11.12.25,
8023426,Z222,11.12.25,
8023322,Z223,11.12.25,
8023347,Z224,11.12.25,
8023321,Z225,11.12.25,
8023346,Z226,11.12.25,
1040820,Z227,11.12.25,
8023331,Z228,11.12.25,
1012423,Z229,11.12.25,
8034018,Z230,12.12.25,
8034013,Z231,12.12.25,
5053643,Z232,12.12.25,
5053705,Z233,12.12.25,
1046717,Z234,12.12.25,
5053700,Z235,12.12.25,maybe contaminated. DBS punch has fallen into the rack.
5053714,Z236,12.12.25,
5053692,Z237,12.12.25,
1046736,Z238,12.12.25,
1012543,Z239,12.12.25,
1012552,Z240,12.12.25,
1012559,Z241,12.12.25,
1012540,Z242,12.12.25,
1012449,Z243,12.12.25,
1012431,Z244,12.12.25,
1012447,Z245,12.12.25,
1012434,Z246,12.12.25,
8013459,Z247,12.12.25,
8023443,Z248,12.12.25,
1012438,Z249,12.12.25,
1012443,Z250,12.12.25,
1012444,Z251,12.12.25,
1012430,Z252,12.12.25,
1012427,Z253,12.12.25,
1046803,Z254,12.12.25,
1046798,Z255,12.12.25,
5053640,Z256,12.12.25,
1046791,Z257,12.12.25,
1046805,Z258,12.12.25,
1046802,Z259,12.12.25,
5053716,Z260,12.12.25,
5053727,Z261,12.12.25,
5053711,Z262,12.12.25,
5053713,Z263,12.12.25,
5053708,Z264,12.12.25,
5053699,Z265,12.12.25,
1045445,Z266,12.12.25,
5053732,Z267,12.12.25,
8023330,Z268,12.12.25,
1012433,Z269,12.12.25,
8023417,Z270,12.12.25,
1012418,Z271,12.12.25,
5053842,Z272,12.12.25,
1012538,Z273,12.12.25,
5053831,Z274,12.12.25,
1012413,Z275,12.12.25,
8019451,Z276,12.12.25,
8021025,Z277,12.12.25,
8021018,Z278,12.12.25,
8023974,Z279,12.12.25,
8021027,Z280,12.12.25,
1012412,Z281,12.12.25,
2030496,Z282,12.12.25,
1012544,Z283,12.12.25,
5053835,Z284,12.12.25,
