pool,microsat_kbp,fluorophore,plate,well,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,n_peaks,allele_size,sample_id,extraction_id,set_type,province,district,carrier_A724E
1,-0.15,FAM,C02,F9,213.05,2089.0,,,1,213.0,5053732,Z267,representative,western,sikongo,True
1,-0.15,FAM,C02,A10,199.16,4251.0,,,1,199.0,5053831,Z274,clonal,northwestern,solwezi,False
1,-0.15,FAM,C02,G10,204.41,6561.0,,,1,205.0,5053835,Z284,clonal,northwestern,solwezi,False
1,-0.15,FAM,C02,F4,213.11,4172.0,,,1,213.0,5053836,Z196,representative,northwestern,solwezi,True
1,-0.15,FAM,C02,H9,201.22,4626.0,,,1,201.0,5053842,Z272,representative,northwestern,solwezi,False
1,-0.15,FAM,C02,B10,197.17,6743.0,,,1,197.0,8019451,Z276,clonal,northwestern,kasempa,False
1,-0.15,FAM,C02,D10,195.33,7540.0,,,1,195.0,8021027,Z280,representative,northwestern,kasempa,False
1,-0.15,FAM,C02,B2,213.19,3349.0,,,1,213.0,8023230,Z156,representative,northwestern,kasempa,True
1,-0.15,FAM,C02,C3,191.3,6420.0,,,1,191.0,8023285,Z171,representative,northwestern,solwezi,False
1,-0.15,FAM,C02,A2,191.5,6117.0,,,1,191.0,8023300,Z153,representative,northwestern,mushindano,False
1,-0.15,FAM,C02,E3,195.29,7642.0,,,1,195.0,8023302,Z177,representative,northwestern,mushindano,False
1,-0.15,FAM,C02,B6,213.06,4313.0,,,1,213.0,8023322,Z223,representative,northwestern,manyinga,True
1,-0.15,FAM,C02,G9,213.05,3649.0,,,1,213.0,8023417,Z270,representative,northwestern,kabompo,True
1,-0.15,FAM,C02,A6,213.06,3600.0,,,1,213.0,8023419,Z220,representative,northwestern,kabompo,True
1,-0.15,FAM,C02,F3,213.09,3646.0,,,1,213.0,8023427,Z180,representative,northwestern,kabompo,True
1,-0.15,FAM,C02,A4,191.26,7771.0,,,1,191.0,8023432,Z185,clonal,northwestern,kabompo,False
1,-0.15,FAM,C02,C4,201.09,6320.0,,,1,201.0,8023436,Z187,clonal,northwestern,kabompo,False
1,-0.15,FAM,C02,H3,213.07,4323.0,,,1,213.0,8023437,Z184,representative,northwestern,kabompo,True
1,-0.15,FAM,C02,G3,213.09,2908.0,292.2,218.0,3,213.0,8023438,Z182,representative,northwestern,kabompo,True
1,-0.15,FAM,C02,H5,213.09,3507.0,,,1,213.0,8023440,Z218,representative,northwestern,kabompo,True
