pool,sample_id,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,peak_ratio,n_peaks,microsat_kbp,fluorophore,product_bp,plate,well,extraction_id,set_type,district,province,carrier_A724E
1,8023299,201.31,4116.0,,,,1,-0.15,FAM,225,C01,E2,Z013,representative,mushindano,northwestern,False
1,8023320,213.08,5249.0,215.07,1080.0,0.20575347685273385,2,-0.15,FAM,225,C01,E3,Z026,clonal,manyinga,northwestern,True
1,8023334,189.34,7432.0,,,,1,-0.15,FAM,225,C01,H11,Z140,representative,manyinga,northwestern,False
1,8023337,213.01,2439.0,214.97,604.0,0.24764247642476425,2,-0.15,FAM,225,C01,B12,Z142,representative,manyinga,northwestern,True
1,8023345,195.15,7443.0,,,,1,-0.15,FAM,225,C01,C12,Z143,clonal,manyinga,northwestern,False
1,8023348,213.08,4581.0,215.1,920.0,0.20082951320672343,2,-0.15,FAM,225,C01,E12,Z145,representative,manyinga,northwestern,True
1,8023349,191.29,7433.0,,,,1,-0.15,FAM,225,C01,A12,Z141,clonal,manyinga,northwestern,False
1,8023430,216.97,4121.0,219.03,1014.0,0.24605678233438485,2,-0.15,FAM,225,C01,C3,Z024,clonal,kabompo,northwestern,True
1,8031271,191.46,4324.0,,,,1,-0.15,FAM,225,C01,H4,Z047,representative,isoka,muchinga,False
1,8031512,213.08,3664.0,215.07,809.0,0.22079694323144106,2,-0.15,FAM,225,C01,F6,Z077,representative,mafinga,muchinga,True
1,8031765,192.29,6490.0,,,,1,-0.15,FAM,225,C01,D6,Z070,clonal,mushindano,northwestern,False
1,8031772,195.2,7239.0,,,,1,-0.15,FAM,225,C01,A8,Z094,representative,mushindano,northwestern,False
1,8031773,191.32,7327.0,,,,1,-0.15,FAM,225,C01,H3,Z032,clonal,mushindano,northwestern,False
1,8031811,,,,,,0,-0.15,FAM,225,C01,H7,Z093,representative,chavuma,northwestern,True
1,8032013,191.26,7673.0,,,,1,-0.15,FAM,225,C01,C8,Z100,clonal,mushindano,northwestern,False
1,8032032,191.26,7927.0,,,,1,-0.15,FAM,225,C01,B8,Z098,representative,mwinilunga,northwestern,False
1,8032055,213.23,3803.0,215.19,822.0,0.21614514856692085,2,-0.15,FAM,225,C01,G1,Z004,representative,manyinga,northwestern,True
1,8032265,189.34,6324.0,,,,1,-0.15,FAM,225,C01,H9,Z115,clonal,senanga,western,False
1,8032277,213.1,906.0,215.06,352.0,0.38852097130242824,2,-0.15,FAM,225,C01,B10,Z117,clonal,mongu,western,True
1,8032294,203.03,7021.0,,,,1,-0.15,FAM,225,C01,E9,Z112,clonal,kaoma,western,False
1,8032319,213.08,4501.0,215.05,878.0,0.1950677627193957,2,-0.15,FAM,225,C01,F9,Z113,representative,mitete,western,True
1,8032330,199.13,5153.0,,,,1,-0.15,FAM,225,C01,A10,Z116,representative,kalabo,western,False
1,8032335,199.13,6906.0,,,,1,-0.15,FAM,225,C01,D9,Z111,representative,nalolo,western,False
1,8032343,213.06,4713.0,215.0,936.0,0.19859961807765755,2,-0.15,FAM,225,C01,C4,Z035,representative,shangombo,western,True
1,8032348,191.23,7843.0,,,,1,-0.15,FAM,225,C01,G9,Z114,clonal,sikongo,western,False
1,8032526,191.22,7817.0,,,,1,-0.15,FAM,225,C01,B11,Z127,representative,mongu,western,False
1,8032527,191.26,7924.0,,,,1,-0.15,FAM,225,C01,D11,Z131,representative,mongu,western,False
1,8032541,205.18,5683.0,,,,1,-0.15,FAM,225,C01,E11,Z132,representative,limulunga,western,False
1,8032558,212.98,2269.0,214.97,471.0,0.20758043190832967,2,-0.15,FAM,225,C01,C11,Z130,representative,luampa,western,True
1,8032579,189.32,4223.0,,,,1,-0.15,FAM,225,C01,B6,Z065,clonal,nalolo,western,False
1,8032583,201.11,6878.0,,,,1,-0.15,FAM,225,C01,E6,Z071,clonal,nalolo,western,False
1,8032589,191.32,7957.0,,,,1,-0.15,FAM,225,C01,C6,Z069,representative,shangombo,western,False
1,8033342,193.39,7306.0,,,,1,-0.15,FAM,225,C01,H6,Z081,representative,mambwe,eastern,False
1,8033344,201.13,5675.0,,,,1,-0.15,FAM,225,C01,A7,Z082,representative,mambwe,eastern,False
1,8033369,221.2,3596.0,,,,1,-0.15,FAM,225,C01,B7,Z084,representative,mambwe,eastern,False
1,8033385,183.32,5723.0,,,,1,-0.15,FAM,225,C01,C7,Z085,representative,mambwe,eastern,False
1,8033415,191.25,7960.0,,,,1,-0.15,FAM,225,C01,B5,Z050,representative,mambwe,eastern,False
1,8034000,193.19,7515.0,,,,1,-0.15,FAM,225,C01,E10,Z121,clonal,sesheke,western,False
1,8034002,199.14,7450.0,,,,1,-0.15,FAM,225,C01,B4,Z034,clonal,sesheke,western,False
1,8034003,199.13,6954.0,,,,1,-0.15,FAM,225,C01,A11,Z125,clonal,sesheke,western,False
1,8034004,205.19,7274.0,,,,1,-0.15,FAM,225,C01,F10,Z122,clonal,sesheke,western,False
1,8034006,,,,,,0,-0.15,FAM,225,C01,C10,Z119,clonal,sesheke,western,False
1,8034007,193.34,6936.0,,,,1,-0.15,FAM,225,C01,G10,Z123,clonal,sesheke,western,False
1,8034008,205.24,6760.0,,,,1,-0.15,FAM,225,C01,H10,Z124,representative,sesheke,western,False
1,8034009,213.03,4423.0,215.05,958.0,0.2165950712186299,2,-0.15,FAM,225,C01,D10,Z120,clonal,sesheke,western,True
1,8034014,199.13,7241.0,,,,1,-0.15,FAM,225,C01,F7,Z088,representative,sesheke,western,False
1,8034015,207.06,2926.0,,,,1,-0.15,FAM,225,C01,G7,Z089,representative,sesheke,western,False
1,8034017,217.3,5294.0,219.33,860.0,0.1624480544012089,2,-0.15,FAM,225,C01,F2,Z015,representative,sesheke,western,False
1,8034024,201.12,6974.0,,,,1,-0.15,FAM,225,C01,A6,Z063,representative,sesheke,western,False
1,8034025,213.0,2701.0,,,,1,-0.15,FAM,225,C01,A3,Z020,clonal,sesheke,western,True
1,8034026,205.3,6708.0,,,,1,-0.15,FAM,225,C01,H5,Z062,representative,sesheke,western,False
1,8034028,213.0,4275.0,214.97,720.0,0.16842105263157894,2,-0.15,FAM,225,C01,B3,Z021,clonal,sesheke,western,True
1,8034030,,,,,,0,-0.15,FAM,225,C01,F3,Z028,representative,sesheke,western,True
1,8034031,205.22,7340.0,,,,1,-0.15,FAM,225,C01,E4,Z038,clonal,sesheke,western,False
1,8034036,213.07,6384.0,215.06,1108.0,0.17355889724310777,2,-0.15,FAM,225,C01,F4,Z042,representative,sesheke,western,True
1,8034039,191.22,7840.0,,,,1,-0.15,FAM,225,C01,F8,Z104,representative,sesheke,western,False
1,8034040,205.18,7034.0,,,,1,-0.15,FAM,225,C01,H8,Z107,representative,sesheke,western,False
1,8034042,213.13,3906.0,215.18,790.0,0.20225294418842807,2,-0.15,FAM,225,C01,G8,Z106,representative,sesheke,western,True
1,8034044,213.08,6109.0,,,,1,-0.15,FAM,225,C01,E8,Z103,representative,sesheke,western,True
1,8034045,213.1,5220.0,,,,1,-0.15,FAM,225,C01,D8,Z102,representative,sesheke,western,True
1,8034048,205.03,6458.0,,,,1,-0.15,FAM,225,C01,A9,Z108,representative,sesheke,western,True
1,8034049,191.26,7684.0,,,,1,-0.15,FAM,225,C01,C9,Z110,representative,sesheke,western,False
1,8034050,191.44,7897.0,,,,1,-0.15,FAM,225,C01,D2,Z012,clonal,sesheke,western,False
1,8034052,205.07,7233.0,,,,1,-0.15,FAM,225,C01,B9,Z109,representative,sesheke,western,False
1,8034059,213.16,6665.0,215.18,1085.0,0.16279069767441862,2,-0.15,FAM,225,C01,E1,Z002,clonal,sesheke,western,True
1,1012426,135.58,1210.0,,,,1,15.0,HEX,150,C01,H2,Z018,representative,mufumbwe,northwestern,True
1,1012521,135.39,5275.0,,,,1,15.0,HEX,150,C01,D12,Z144,clonal,zambezi,northwestern,False
1,1012556,141.87,5442.0,,,,1,15.0,HEX,150,C01,B2,Z008,clonal,zambezi,northwestern,False
1,1046675,135.23,7967.0,,,,1,15.0,HEX,150,C01,D5,Z058,representative,luampa,western,True
1,1046677,138.36,7935.0,,,,1,15.0,HEX,150,C01,G5,Z061,clonal,luampa,western,False
1,1046678,135.34,5655.0,,,,1,15.0,HEX,150,C01,C5,Z057,representative,luampa,western,True
1,1046680,135.54,7952.0,,,,1,15.0,HEX,150,C01,C2,Z011,clonal,luampa,western,True
1,1046689,135.38,6711.0,,,,1,15.0,HEX,150,C01,A5,Z048,representative,luampa,western,True
1,1046718,135.44,6269.0,,,,1,15.0,HEX,150,C01,E5,Z059,representative,luampa,western,True
1,1046728,135.44,725.0,,,,1,15.0,HEX,150,C01,F5,Z060,representative,luampa,western,False
1,5053742,135.47,1637.0,,,,1,15.0,HEX,150,C01,G4,Z043,representative,sikongo,western,True
1,5053837,135.52,3547.0,,,,1,15.0,HEX,150,C01,H1,Z005,representative,solwezi,northwestern,False
1,8010683,138.61,1865.0,,,,1,15.0,HEX,150,C01,D1,Z001,representative,chipata,eastern,False
1,8010843,129.44,7940.0,,,,1,15.0,HEX,150,C01,D7,Z086,representative,shiwang'andu,muchinga,False
1,8012421,135.61,1573.0,,,,1,15.0,HEX,150,C01,F1,Z003,representative,vubwi,eastern,False
1,8013498,135.54,6264.0,,,,1,15.0,HEX,150,C01,G2,Z016,representative,chipata,eastern,False
1,8013676,135.39,7973.0,,,,1,15.0,HEX,150,C01,G6,Z079,representative,chipata,eastern,False
1,8013681,138.52,4635.0,,,,1,15.0,HEX,150,C01,E7,Z087,representative,chipata,eastern,False
1,8019456,135.42,1125.0,,,,1,15.0,HEX,150,C01,G3,Z030,clonal,kasempa,northwestern,True
1,8021039,135.4,3494.0,,,,1,15.0,HEX,150,C01,A4,Z033,clonal,kasempa,northwestern,True
1,8021930,135.49,894.0,,,,1,15.0,HEX,150,C01,D4,Z037,representative,kaoma,western,True
1,8021932,135.47,7986.0,,,,1,15.0,HEX,150,C01,G11,Z138,representative,kaoma,western,False
1,8021934,135.43,6021.0,,,,1,15.0,HEX,150,C01,F11,Z137,representative,kaoma,western,True
1,8021935,135.25,7983.0,,,,1,15.0,HEX,150,C01,D3,Z025,representative,kaoma,western,False
1,8022279,135.38,7763.0,,,,1,15.0,HEX,150,C01,A2,Z007,representative,lumezi,eastern,False
1,8023299,135.59,283.0,152.37,124.0,0.4381625441696113,2,15.0,HEX,150,C01,E2,Z013,representative,mushindano,northwestern,False
1,8023320,135.43,5146.0,,,,1,15.0,HEX,150,C01,E3,Z026,clonal,manyinga,northwestern,True
1,8023334,138.52,7762.0,,,,1,15.0,HEX,150,C01,H11,Z140,representative,manyinga,northwestern,False
1,8023337,135.37,644.0,,,,1,15.0,HEX,150,C01,B12,Z142,representative,manyinga,northwestern,True
1,8023345,135.36,7237.0,,,,1,15.0,HEX,150,C01,C12,Z143,clonal,manyinga,northwestern,False
1,8023348,135.49,7052.0,,,,1,15.0,HEX,150,C01,E12,Z145,representative,manyinga,northwestern,True
1,8023349,135.46,3715.0,,,,1,15.0,HEX,150,C01,A12,Z141,clonal,manyinga,northwestern,False
1,8023430,135.42,5354.0,,,,1,15.0,HEX,150,C01,C3,Z024,clonal,kabompo,northwestern,True
1,8031271,135.45,271.0,152.53,101.0,0.3726937269372694,2,15.0,HEX,150,C01,H4,Z047,representative,isoka,muchinga,False
1,8031512,135.51,1318.0,,,,1,15.0,HEX,150,C01,F6,Z077,representative,mafinga,muchinga,True
1,8031765,129.33,479.0,,,,1,15.0,HEX,150,C01,D6,Z070,clonal,mushindano,northwestern,False
1,8031772,132.3,5259.0,,,,1,15.0,HEX,150,C01,A8,Z094,representative,mushindano,northwestern,False
1,8031773,135.52,1455.0,141.9,1006.0,0.6914089347079038,2,15.0,HEX,150,C01,H3,Z032,clonal,mushindano,northwestern,False
1,8031811,,,,,,0,15.0,HEX,150,C01,H7,Z093,representative,chavuma,northwestern,True
1,8032013,135.46,3873.0,141.77,1199.0,0.30957913761941647,2,15.0,HEX,150,C01,C8,Z100,clonal,mushindano,northwestern,False
1,8032032,135.37,7642.0,,,,1,15.0,HEX,150,C01,B8,Z098,representative,mwinilunga,northwestern,False
1,8032055,135.59,1689.0,,,,1,15.0,HEX,150,C01,G1,Z004,representative,manyinga,northwestern,True
1,8032265,138.52,713.0,,,,1,15.0,HEX,150,C01,H9,Z115,clonal,senanga,western,False
1,8032277,135.28,118.0,152.28,76.0,0.6440677966101694,2,15.0,HEX,150,C01,B10,Z117,clonal,mongu,western,True
1,8032294,135.34,8052.0,,,,1,15.0,HEX,150,C01,E9,Z112,clonal,kaoma,western,False
1,8032319,135.35,4317.0,,,,1,15.0,HEX,150,C01,F9,Z113,representative,mitete,western,True
1,8032330,138.43,1373.0,,,,1,15.0,HEX,150,C01,A10,Z116,representative,kalabo,western,False
1,8032335,138.43,4285.0,,,,1,15.0,HEX,150,C01,D9,Z111,representative,nalolo,western,False
1,8032343,135.46,2231.0,,,,1,15.0,HEX,150,C01,C4,Z035,representative,shangombo,western,True
1,8032348,135.47,6676.0,,,,1,15.0,HEX,150,C01,G9,Z114,clonal,sikongo,western,False
1,8032526,141.79,3541.0,,,,1,15.0,HEX,150,C01,B11,Z127,representative,mongu,western,False
1,8032527,141.77,5752.0,,,,1,15.0,HEX,150,C01,D11,Z131,representative,mongu,western,False
1,8032541,141.72,1074.0,,,,1,15.0,HEX,150,C01,E11,Z132,representative,limulunga,western,False
1,8032558,135.32,242.0,152.21,92.0,0.38016528925619836,2,15.0,HEX,150,C01,C11,Z130,representative,luampa,western,True
1,8032579,138.51,340.0,152.17,104.0,0.3058823529411765,2,15.0,HEX,150,C01,B6,Z065,clonal,nalolo,western,False
1,8032583,135.42,5260.0,,,,1,15.0,HEX,150,C01,E6,Z071,clonal,nalolo,western,False
1,8032589,135.53,8147.0,,,,1,15.0,HEX,150,C01,C6,Z069,representative,shangombo,western,False
1,8033342,135.52,3194.0,,,,1,15.0,HEX,150,C01,H6,Z081,representative,mambwe,eastern,False
1,8033344,135.3,4339.0,,,,1,15.0,HEX,150,C01,A7,Z082,representative,mambwe,eastern,False
1,8033369,,,,,,0,15.0,HEX,150,C01,B7,Z084,representative,mambwe,eastern,False
1,8033385,135.34,558.0,,,,1,15.0,HEX,150,C01,C7,Z085,representative,mambwe,eastern,False
1,8033415,141.96,7830.0,,,,1,15.0,HEX,150,C01,B5,Z050,representative,mambwe,eastern,False
1,8034000,141.86,5012.0,,,,1,15.0,HEX,150,C01,E10,Z121,clonal,sesheke,western,False
1,8034002,129.13,7886.0,,,,1,15.0,HEX,150,C01,B4,Z034,clonal,sesheke,western,False
1,8034003,129.26,4122.0,,,,1,15.0,HEX,150,C01,A11,Z125,clonal,sesheke,western,False
1,8034004,141.74,7995.0,,,,1,15.0,HEX,150,C01,F10,Z122,clonal,sesheke,western,False
1,8034006,,,,,,0,15.0,HEX,150,C01,C10,Z119,clonal,sesheke,western,False
1,8034007,138.6,7950.0,,,,1,15.0,HEX,150,C01,G10,Z123,clonal,sesheke,western,False
1,8034008,141.7,3811.0,,,,1,15.0,HEX,150,C01,H10,Z124,representative,sesheke,western,False
1,8034009,135.4,6660.0,,,,1,15.0,HEX,150,C01,D10,Z120,clonal,sesheke,western,True
1,8034014,129.3,8048.0,,,,1,15.0,HEX,150,C01,F7,Z088,representative,sesheke,western,False
1,8034015,,,,,,0,15.0,HEX,150,C01,G7,Z089,representative,sesheke,western,False
1,8034017,138.53,8063.0,,,,1,15.0,HEX,150,C01,F2,Z015,representative,sesheke,western,False
1,8034024,129.3,7732.0,,,,1,15.0,HEX,150,C01,A6,Z063,representative,sesheke,western,False
1,8034025,135.39,5541.0,,,,1,15.0,HEX,150,C01,A3,Z020,clonal,sesheke,western,True
1,8034026,135.45,4712.0,,,,1,15.0,HEX,150,C01,H5,Z062,representative,sesheke,western,False
1,8034028,135.43,7489.0,,,,1,15.0,HEX,150,C01,B3,Z021,clonal,sesheke,western,True
1,8034030,,,,,,0,15.0,HEX,150,C01,F3,Z028,representative,sesheke,western,True
1,8034031,141.72,8017.0,,,,1,15.0,HEX,150,C01,E4,Z038,clonal,sesheke,western,False
1,8034036,135.27,7994.0,,,,1,15.0,HEX,150,C01,F4,Z042,representative,sesheke,western,True
1,8034039,135.43,8084.0,,,,1,15.0,HEX,150,C01,F8,Z104,representative,sesheke,western,False
1,8034040,141.58,7642.0,,,,1,15.0,HEX,150,C01,H8,Z107,representative,sesheke,western,False
1,8034042,135.46,3243.0,,,,1,15.0,HEX,150,C01,G8,Z106,representative,sesheke,western,True
1,8034044,135.27,7962.0,,,,1,15.0,HEX,150,C01,E8,Z103,representative,sesheke,western,True
1,8034045,135.57,7952.0,,,,1,15.0,HEX,150,C01,D8,Z102,representative,sesheke,western,True
1,8034048,135.37,7456.0,,,,1,15.0,HEX,150,C01,A9,Z108,representative,sesheke,western,True
1,8034049,135.32,7280.0,,,,1,15.0,HEX,150,C01,C9,Z110,representative,sesheke,western,False
1,8034050,135.56,7952.0,,,,1,15.0,HEX,150,C01,D2,Z012,clonal,sesheke,western,False
1,8034052,141.53,7949.0,,,,1,15.0,HEX,150,C01,B9,Z109,representative,sesheke,western,False
1,8034059,135.36,8194.0,,,,1,15.0,HEX,150,C01,E1,Z002,clonal,sesheke,western,True
2,1012426,200.45,4435.0,,,,1,-31.9,FAM,209,C01,H2,Z018,representative,mufumbwe,northwestern,True
2,1012521,208.35,1779.0,,,,1,-31.9,FAM,209,C01,D12,Z144,clonal,zambezi,northwestern,False
2,1012556,204.36,4802.0,,,,1,-31.9,FAM,209,C01,B2,Z008,clonal,zambezi,northwestern,False
2,1046675,200.31,6825.0,,,,1,-31.9,FAM,209,C01,D5,Z058,representative,luampa,western,True
2,1046677,212.34,4873.0,,,,1,-31.9,FAM,209,C01,G5,Z061,clonal,luampa,western,False
2,1046678,200.32,3838.0,,,,1,-31.9,FAM,209,C01,C5,Z057,representative,luampa,western,True
2,1046680,200.39,5477.0,,,,1,-31.9,FAM,209,C01,C2,Z011,clonal,luampa,western,True
2,1046689,200.3,4150.0,,,,1,-31.9,FAM,209,C01,A5,Z048,representative,luampa,western,True
2,1046718,200.38,4972.0,,,,1,-31.9,FAM,209,C01,E5,Z059,representative,luampa,western,True
2,1046728,208.34,640.0,,,,1,-31.9,FAM,209,C01,F5,Z060,representative,luampa,western,False
2,5053742,200.46,400.0,,,,1,-31.9,FAM,209,C01,G4,Z043,representative,sikongo,western,True
2,5053837,196.47,3034.0,214.29,135.0,0.044495715227422544,2,-31.9,FAM,209,C01,H1,Z005,representative,solwezi,northwestern,False
2,8010683,194.44,2040.0,,,,1,-31.9,FAM,209,C01,D1,Z001,representative,chipata,eastern,False
2,8010843,198.41,6069.0,,,,1,-31.9,FAM,209,C01,D7,Z086,representative,shiwang'andu,muchinga,False
2,8012421,208.3,2932.0,,,,1,-31.9,FAM,209,C01,F1,Z003,representative,vubwi,eastern,False
2,8013498,204.43,3374.0,192.61,2373.0,0.7033195020746889,2,-31.9,FAM,209,C01,G2,Z016,representative,chipata,eastern,False
2,8013676,204.48,5810.0,,,,1,-31.9,FAM,209,C01,G6,Z079,representative,chipata,eastern,False
2,8013681,198.43,399.0,,,,1,-31.9,FAM,209,C01,E7,Z087,representative,chipata,eastern,False
2,8019456,200.39,3088.0,,,,1,-31.9,FAM,209,C01,G3,Z030,clonal,kasempa,northwestern,True
2,8021039,200.39,3619.0,,,,1,-31.9,FAM,209,C01,A4,Z033,clonal,kasempa,northwestern,True
2,8021930,200.39,1583.0,,,,1,-31.9,FAM,209,C01,D4,Z037,representative,kaoma,western,True
2,8021932,192.54,7619.0,,,,1,-31.9,FAM,209,C01,G11,Z138,representative,kaoma,western,False
2,8021934,200.39,4263.0,,,,1,-31.9,FAM,209,C01,F11,Z137,representative,kaoma,western,True
2,8021935,194.44,7908.0,,,,1,-31.9,FAM,209,C01,D3,Z025,representative,kaoma,western,False
2,8022279,210.38,5406.0,,,,1,-31.9,FAM,209,C01,A2,Z007,representative,lumezi,eastern,False
2,8023299,196.53,708.0,,,,1,-31.9,FAM,209,C01,E2,Z013,representative,mushindano,northwestern,False
2,8023320,200.39,4317.0,,,,1,-31.9,FAM,209,C01,E3,Z026,clonal,manyinga,northwestern,True
2,8023334,212.38,2550.0,,,,1,-31.9,FAM,209,C01,H11,Z140,representative,manyinga,northwestern,False
2,8023337,210.34,410.0,,,,1,-31.9,FAM,209,C01,B12,Z142,representative,manyinga,northwestern,True
2,8023345,204.39,3857.0,,,,1,-31.9,FAM,209,C01,C12,Z143,clonal,manyinga,northwestern,False
2,8023348,200.46,4466.0,,,,1,-31.9,FAM,209,C01,E12,Z145,representative,manyinga,northwestern,True
2,8023349,200.31,2694.0,,,,1,-31.9,FAM,209,C01,A12,Z141,clonal,manyinga,northwestern,False
2,8023430,200.32,4012.0,,,,1,-31.9,FAM,209,C01,C3,Z024,clonal,kabompo,northwestern,True
2,8031271,200.53,199.0,,,,1,-31.9,FAM,209,C01,H4,Z047,representative,isoka,muchinga,False
2,8031512,200.46,1283.0,,,,1,-31.9,FAM,209,C01,F6,Z077,representative,mafinga,muchinga,True
2,8031765,198.42,802.0,,,,1,-31.9,FAM,209,C01,D6,Z070,clonal,mushindano,northwestern,False
2,8031772,206.34,3138.0,,,,1,-31.9,FAM,209,C01,A8,Z094,representative,mushindano,northwestern,False
2,8031773,198.42,1703.0,204.31,1190.0,0.6987668819729889,2,-31.9,FAM,209,C01,H3,Z032,clonal,mushindano,northwestern,False
2,8031811,,,,,,0,-31.9,FAM,209,C01,H7,Z093,representative,chavuma,northwestern,True
2,8032013,204.33,2971.0,,,,1,-31.9,FAM,209,C01,C8,Z100,clonal,mushindano,northwestern,False
2,8032032,200.31,4507.0,,,,1,-31.9,FAM,209,C01,B8,Z098,representative,mwinilunga,northwestern,False
2,8032055,200.39,1747.0,,,,1,-31.9,FAM,209,C01,G1,Z004,representative,manyinga,northwestern,True
2,8032265,212.41,691.0,,,,1,-31.9,FAM,209,C01,H9,Z115,clonal,senanga,western,False
2,8032277,200.46,131.0,,,,1,-31.9,FAM,209,C01,B10,Z117,clonal,mongu,western,True
2,8032294,202.44,6045.0,,,,1,-31.9,FAM,209,C01,E9,Z112,clonal,kaoma,western,False
2,8032319,200.39,3798.0,,,,1,-31.9,FAM,209,C01,F9,Z113,representative,mitete,western,True
2,8032330,206.36,1562.0,,,,1,-31.9,FAM,209,C01,A10,Z116,representative,kalabo,western,False
2,8032335,206.32,2656.0,,,,1,-31.9,FAM,209,C01,D9,Z111,representative,nalolo,western,False
2,8032343,200.31,4232.0,,,,1,-31.9,FAM,209,C01,C4,Z035,representative,shangombo,western,True
2,8032348,198.41,5378.0,,,,1,-31.9,FAM,209,C01,G9,Z114,clonal,sikongo,western,False
2,8032526,204.31,3123.0,,,,1,-31.9,FAM,209,C01,B11,Z127,representative,mongu,western,False
2,8032527,204.38,4245.0,,,,1,-31.9,FAM,209,C01,D11,Z131,representative,mongu,western,False
2,8032541,206.33,1845.0,,,,1,-31.9,FAM,209,C01,E11,Z132,representative,limulunga,western,False
2,8032558,206.36,576.0,,,,1,-31.9,FAM,209,C01,C11,Z130,representative,luampa,western,True
2,8032579,212.3,196.0,239.31,110.0,0.5612244897959183,2,-31.9,FAM,209,C01,B6,Z065,clonal,nalolo,western,False
2,8032583,200.38,4549.0,,,,1,-31.9,FAM,209,C01,E6,Z071,clonal,nalolo,western,False
2,8032589,194.45,7662.0,,,,1,-31.9,FAM,209,C01,C6,Z069,representative,shangombo,western,False
2,8033342,198.53,2422.0,,,,1,-31.9,FAM,209,C01,H6,Z081,representative,mambwe,eastern,False
2,8033344,206.3,2975.0,,,,1,-31.9,FAM,209,C01,A7,Z082,representative,mambwe,eastern,False
2,8033369,196.46,635.0,,,,1,-31.9,FAM,209,C01,B7,Z084,representative,mambwe,eastern,False
2,8033385,202.36,201.0,,,,1,-31.9,FAM,209,C01,C7,Z085,representative,mambwe,eastern,False
2,8033415,202.29,6070.0,,,,1,-31.9,FAM,209,C01,B5,Z050,representative,mambwe,eastern,False
2,8034000,204.43,3118.0,,,,1,-31.9,FAM,209,C01,E10,Z121,clonal,sesheke,western,False
2,8034002,190.51,7919.0,,,,1,-31.9,FAM,209,C01,B4,Z034,clonal,sesheke,western,False
2,8034003,190.5,5676.0,,,,1,-31.9,FAM,209,C01,A11,Z125,clonal,sesheke,western,False
2,8034004,204.43,4159.0,,,,1,-31.9,FAM,209,C01,F10,Z122,clonal,sesheke,western,False
